player_id,name,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,est_woba,est_woba_minus_woba_diff,avg_woba,woba_2023,z_scores_avg_woba,zscore_difference
665489, Vladimir Guerrero Jr.,2020.666667,639.3333333,465.6666667,0.285666667,0.279666667,0.006,0.504666667,0.494666667,0.01,0.364333333,0.002,0.366333333,0.338,1.228138326,-0.829621343
665742, Juan Soto,2020,617.75,393.5,0.28225,0.2795,0.00275,0.51275,0.526,-0.01325,0.40275,-0.00725,0.3955,0.379,2.170452345,-0.643512481
665750, Leody Taveras,2022,341,230,0.261,0.226,0.035,0.366,0.318,0.048,0.267,0.03,0.297,0.308,-1.011876712,0.584718418
665862, Jazz Chisholm Jr.,2021.5,374,237,0.251,0.24,0.011,0.48,0.441,0.039,0.326,0.0125,0.3385,0.32,0.32890152,-0.425789703
665926, Andres Gimenez,2022,557,386,0.297,0.257,0.04,0.466,0.4,0.066,0.326,0.038,0.364,0.308,1.152753205,-1.579911499
666135, Alex Kirilloff,2021,231,164,0.251,0.291,-0.04,0.423,0.538,-0.115,0.366,-0.059,0.307,0.347,-0.68879762,1.335017187
666182, Bo Bichette,2021.5,693.5,503,0.294,0.2845,0.0095,0.4765,0.4665,0.01,0.3445,0.006,0.3505,0.363,0.716596431,0.369983285
666185, Dylan Carlson,2021.5,553.5,370.5,0.251,0.2405,0.0105,0.4085,0.381,0.0275,0.3115,0.0095,0.321,0.293,-0.236486891,-0.603509042
666624, Christopher Morel,2022,425,247,0.235,0.233,0.002,0.433,0.435,-0.002,0.324,-0.002,0.322,0.342,-0.204178982,0.712786003
666969, Adolis Garcia,2021.5,639.5,409.5,0.2465,0.232,0.0145,0.455,0.4345,0.0205,0.3105,0.0085,0.319,0.355,-0.301102709,1.167502351
666971, Lourdes Gurriel Jr.,2020,410,300.5,0.28125,0.266,0.01525,0.46325,0.45375,0.0095,0.33025,0.00475,0.335,0.327,0.215823838,-0.120054456
668227, Randy Arozarena,2021.5,624.5,398,0.2685,0.228,0.0405,0.452,0.3755,0.0765,0.3025,0.0405,0.343,0.351,0.474287112,0.282022493
668731, Akil Baddoo,2021,461,294,0.259,0.227,0.032,0.436,0.403,0.033,0.309,0.02,0.329,0.3,0.021976383,-0.669314751
668804, Bryan Reynolds,2020.666667,602,406.6666667,0.292666667,0.278666667,0.014,0.495333333,0.471,0.024333333,0.358,0.010333333,0.368333333,0.342,1.292754145,-0.784147124
668939, Adley Rutschman,2022,470,315,0.254,0.248,0.006,0.445,0.411,0.034,0.342,0.012,0.354,0.347,0.829674113,-0.183454546
668942, Josh Rojas,2021.5,530,353,0.2665,0.2355,0.031,0.401,0.3565,0.0445,0.3,0.0265,0.3265,0.271,-0.05879339,-1.386697747
669004, MJ Melendez,2022,534,336,0.217,0.237,-0.02,0.393,0.41,-0.017,0.332,-0.022,0.31,0.304,-0.591873892,0.054625561
669016, Brandon Marsh,2022,461,272,0.245,0.226,0.019,0.384,0.372,0.012,0.287,0.009,0.296,0.357,-1.044184621,1.965629281
669221, Sean Murphy,2021.5,530,350,0.233,0.2475,-0.0145,0.4155,0.44,-0.0245,0.3405,-0.0205,0.32,0.388,-0.2687948,2.043437248
669222, Nick Senzel,2020.5,417,287.5,0.2435,0.244,-0.0005,0.3665,0.381,-0.0145,0.302,-0.0085,0.2935,0.288,-1.124954394,0.147345914
669242, Tommy Edman,2020.666667,556.6666667,428.3333333,0.277,0.271666667,0.005333333,0.429,0.407333333,0.021666667,0.318333333,0.007,0.325333333,0.311,-0.096485951,-0.248104815
