ERA_avg,FIP_avg,WHIP_avg,z_scores_era_avg,z_score_era_2023,z_scores_fip_avg,z_score_fip_2023,z_scores_whip_avg,z_score_whip_2023,zscore_difference_whip
3.381561542346249,3.7803524530220365,1.1219969393488605,-0.3977090081637451,0.10118271980698085,-0.44393335184556126,0.11775764697156274,-0.5448492535668823,-0.23773558256914618,0.3071136709977361
2.9022380615341965,3.1556742774225763,1.0128312767352752,-0.5010791557633695,-0.4917841399460933,-0.830967232540255,-0.33795012121441464,-0.7281768300196201,-0.589648307378653,0.13852852264096704
3.8549656921782285,3.9891320708101423,1.3075039546084286,-0.29561541416851433,0.7073985021408942,-0.31457908778000016,0.40835264124663523,-0.23331767203929085,0.7384896959917812,0.971807368031072
4.213118859198471,3.6482838304592797,1.2989544200356973,-0.21837666576538264,0.24553602093040297,-0.5257595361194315,0.5917160631276541,-0.2476753502275848,0.11871644887906077,0.36639179910664554
4.011501845838817,3.4636028607372658,1.2834267981917313,-0.2618570735982611,0.2856559615150775,-0.6401829227430766,0.14019328004806259,-0.2737516933979199,0.01854038184019613,0.292292075238116
4.011501845838817,3.4636028607372658,1.2834267981917313,-0.2618570735982611,-0.5868427900033809,-0.6401829227430766,-0.030568955006298016,-0.2737516933979199,-0.5229752513145661,-0.24922355791664624
2.4953834099799423,2.655163053896846,0.9115233138885056,-0.5888207896835485,-0.4670440809580377,-1.1410705925408153,-0.722390700243601,-0.898308562465597,-0.7291301535661496,0.16917840889944735
2.4953834099799423,2.655163053896846,0.9115233138885056,-0.5888207896835485,-0.19735431355139965,-1.1410705925408153,-0.02084936159990115,-0.898308562465597,-0.35375017113704055,0.5445583913285564
3.4662113024866965,3.4595234434118147,1.130755530506815,-0.3794535740982858,-0.32428897967471104,-0.6427104205493308,-0.29764466986312416,-0.5301404957790797,-0.08879666869221665,0.4413438270868631
3.5734404926591745,4.1156260778610445,1.1870519812254297,-0.3563286956835279,-0.049373470102142145,-0.23620678609593454,-0.11042714351356726,-0.43559893732523836,0.04112763955706097,0.4767265768822993
3.5734404926591745,4.1156260778610445,1.1870519812254297,-0.3563286956835279,0.8878387090518287,-0.23620678609593454,1.1853967906331195,-0.43559893732523836,0.06972022398952826,0.5053191613147666
8.857143228232504,3.4845391924635405,1.7222223170850768,0.7831463217377783,-0.9865855966799273,-0.6272113318791,-0.49724024409565376,0.46314044934282933,-0.8052110057343366,-1.268351455077166
4.17877597876383,4.343505664389515,1.2469145904738301,-0.22578299731732496,1.0315445928697942,-0.095018692529868,1.080957266482716,-0.33506854332677993,1.2946241552826656,1.6296926986094455
5.8346649275852736,5.601672696846224,1.460855889939124,0.13132340764800346,-0.2508228997607227,0.684507931185698,-0.27114456792432023,0.02421421093042528,-0.09997677018961951,-0.12419098112004479
4.578943655390903,3.9671456417068796,1.2964270809058052,-0.1394834658871943,0.3509665247076278,-0.3282012908772807,0.3576167081907574,-0.2519196423105024,0.3419210253828538,0.5938406676933562
3.9154813306459513,4.570516496817334,1.2361976677099553,-0.2825647068050942,0.22043007320509186,0.04563114424401585,0.5900123079102373,-0.3530660292604919,-0.3942585012347239,-0.04119247197423198
5.274245666426228,5.316858934836605,1.310175802463364,0.010464271672567598,0.3172804353916123,0.5080449460973281,0.5245717745725768,-0.22883069893649757,0.1552923901266003,0.3841230890630979
4.856369073347199,4.699321761114709,1.52647611762257,-0.07965433681251292,-0.006117479765456084,0.12543543906683274,0.17652869904409174,0.13441367310073907,0.10112805543377935,-0.03328561766695971
0.0,2.212430658340323,0.0,-1.1269712490982937,-0.9865855966799273,-1.4153757369410727,-2.469987527403899,-2.4290770844949043,-0.9510328098667495,1.4780442746281548
4.482371393487179,4.81404906271852,1.351180964804828,-0.16031008792145227,0.2944905097062648,0.19651740494268966,0.34360268984003134,-0.15996859656717471,-0.19323727368797114,-0.033268677120796425
2.284965184208237,2.8464406424184463,0.8443770536759944,-0.6341992531354591,-0.43718538454812217,-1.0225601174399437,-0.4859026187337652,-1.0110707704521646,-0.2822637022249638,0.7288070682272009
2.284965184208237,2.8464406424184463,0.8443770536759944,-0.6341992531354591,-0.36729703503593764,-1.0225601174399437,-0.31948391061675924,-1.0110707704521646,-0.4136047214804035,0.5974660489717611
3.3142876312660237,4.017715863741318,1.292591290876994,-0.4122171939638346,-0.36058964606598176,-0.2968693346058792,-0.07718767857857903,-0.25836128405872,-0.3727355552339041,-0.11437427117518412
4.2461620069446955,4.197879217379641,1.2523371681321318,-0.2112506325197409,-0.4569302150624282,-0.1852449420125314,-0.507874998023077,-0.32596212656144535,-0.596108050887109,-0.2701459243256637
4.632438497684602,4.049696056374525,1.349409078059229,-0.12794685237860942,-0.061925386732212435,-0.2770552630668569,0.147865599528096,-0.1629442181595544,0.0332647628770103,0.1962089810365647
7.131886356498821,4.842052207873589,1.7280783056051867,0.4110801396758441,-0.03335268006095127,0.21386740429335152,-0.26961559513159644,0.4729747155161307,0.01737399367842518,-0.4556007218377055
3.6276300087987727,3.9600521813314193,1.1341636712231333,-0.3446422699064879,-0.0697619149828817,-0.3325962090990256,-0.2522043162975458,-0.5244170277693251,-0.20104799894825526,0.3233690288210698
4.201790218199908,4.046083727022892,1.293039792895493,-0.2208197826561736,-0.025038808558635543,-0.2792933656641952,-0.30827185909880805,-0.2576080912862213,-0.1752605483524508,0.0823475429337705
3.219372883401742,3.051849229194993,1.1076820720778475,-0.4326863591286413,-0.2807106405865321,-0.8952944539775554,-0.5825594627999937,-0.56888895489061,-0.5074145652337798,0.061474389656830164
