PlayerId,Name,ERA_avg,FIP_avg,WHIP_avg,ERA_2023,FIP_2023,WHIP_2023,z_scores_era_avg,z_score_era_2023,z_scores_fip_avg,z_score_fip_2023,z_scores_whip_avg,z_score_whip_2023,zscore_difference_era,zscore_difference_fip,zscore_difference_whip
1943,Zack Greinke,3.381561542346249,3.7803524530220365,1.1219969393488605,5.530120609010457,5.1410634068519405,1.2740964148210367,-0.3977090081637451,0.10118271980698085,-0.44393335184556126,0.11775764697156274,-0.5448492535668823,-0.23773558256914618,0.49889172797072595,0.561690998817124,0.3071136709977361
2036,Clayton Kershaw,2.9022380615341965,3.1556742774225763,1.0128312767352752,2.515528069515255,3.755053508804609,1.0155279984339365,-0.5010791557633695,-0.4917841399460933,-0.830967232540255,-0.33795012121441464,-0.7281768300196201,-0.589648307378653,0.009295015817276153,0.4930171113258403,0.13852852264096704
2233,Adam Wainwright,3.8549656921782285,3.9891320708101423,1.3075039546084286,8.612069531938587,6.024891962137586,1.991379441319133,-0.29561541416851433,0.7073985021408942,-0.31457908778000016,0.40835264124663523,-0.23331767203929085,0.7384896959917812,1.0030139163094085,0.7229317290266354,0.971807368031072
2429,Corey Kluber,4.213118859198471,3.6482838304592797,1.2989544200356973,6.264000382324242,6.582581638305676,1.5360000937500058,-0.21837666576538264,0.24553602093040297,-0.5257595361194315,0.5917160631276541,-0.2476753502275848,0.11871644887906077,0.4639126866957856,1.1174755992470855,0.36639179910664554
2520,Lance Lynn,4.011501845838817,3.4636028607372658,1.2834267981917313,6.4679667112720605,5.209300140311126,1.462395574254019,-0.2618570735982611,0.2856559615150775,-0.6401829227430766,0.14019328004806259,-0.2737516933979199,0.01854038184019613,0.5475130351133386,0.7803762027911392,0.292292075238116
2520,Lance Lynn,4.011501845838817,3.4636028607372658,1.2834267981917313,2.032258064516129,4.689936274866904,1.064516129032258,-0.2618570735982611,-0.5868427900033809,-0.6401829227430766,-0.030568955006298016,-0.2737516933979199,-0.5229752513145661,-0.3249857164051198,0.6096139677367787,-0.24922355791664624
3137,Max Scherzer,2.4953834099799423,2.655163053896846,0.9115233138885056,2.641304402585743,2.585798813264627,0.9130434971901332,-0.5888207896835485,-0.4670440809580377,-1.1410705925408153,-0.722390700243601,-0.898308562465597,-0.7291301535661496,0.12177670872551077,0.41867989229721436,0.16917840889944735
3137,Max Scherzer,2.4953834099799423,2.655163053896846,0.9115233138885056,4.012383995702974,4.719497879049968,1.1888545172453255,-0.5888207896835485,-0.19735431355139965,-1.1410705925408153,-0.02084936159990115,-0.898308562465597,-0.35375017113704055,0.3914664761321488,1.120221230940914,0.5445583913285564
4676,Charlie Morton,3.4662113024866965,3.4595234434118147,1.130755530506815,3.367059065304678,3.877640303277148,1.3835295111105177,-0.3794535740982858,-0.32428897967471104,-0.6427104205493308,-0.29764466986312416,-0.5301404957790797,-0.08879666869221665,0.05516459442357474,0.34506575068620665,0.4413438270868631
4806,Rich Hill,3.5734404926591745,4.1156260778610445,1.1870519812254297,4.764705882352941,4.447052024392521,1.4789915966386555,-0.3563286956835279,-0.049373470102142145,-0.23620678609593454,-0.11042714351356726,-0.43559893732523836,0.04112763955706097,0.3069552255813857,0.1257796425823673,0.4767265768822993
4806,Rich Hill,3.5734404926591745,4.1156260778610445,1.1870519812254297,9.52941203199869,8.388228638526893,1.5000000420738682,-0.3563286956835279,0.8878387090518287,-0.23620678609593454,1.1853967906331195,-0.43559893732523836,0.06972022398952826,1.2441674047353566,1.421603576729054,0.5053191613147666
5448,Jesse Chavez,8.857143228232504,3.4845391924635405,1.7222223170850768,0.0,3.2705814361572267,0.8571429739193199,0.7831463217377783,-0.9865855966799273,-0.6272113318791,-0.49724024409565376,0.46314044934282933,-0.8052110057343366,-1.7697319184177056,0.1299710877834463,-1.268351455077166
5524,Madison Bumgarner,4.17877597876383,4.343505664389515,1.2469145904738301,10.260000391387956,8.070581619262702,2.4000000915527377,-0.22578299731732496,1.0315445928697942,-0.095018692529868,1.080957266482716,-0.33506854332677993,1.2946241552826656,1.257327590187119,1.175975959012584,1.6296926986094455
6562,Alex Cobb,5.8346649275852736,5.601672696846224,1.460855889939124,3.740554299940376,3.958238893317983,1.3753149143215118,0.13132340764800346,-0.2508228997607227,0.684507931185698,-0.27114456792432023,0.02421421093042528,-0.09997677018961951,-0.3821463074087261,-0.9556524991100181,-0.12419098112004479
6632,Carlos Carrasco,4.578943655390903,3.9671456417068796,1.2964270809058052,6.8,5.870581436157227,1.7,-0.1394834658871943,0.3509665247076278,-0.3282012908772807,0.3576167081907574,-0.2519196423105024,0.3419210253828538,0.4904499905948221,0.6858179990680382,0.5938406676933562
6893,Johnny Cueto,3.9154813306459513,4.570516496817334,1.2361976677099553,6.136363902367847,6.5773997613221225,1.159090959336149,-0.2825647068050942,0.22043007320509186,0.04563114424401585,0.5900123079102373,-0.3530660292604919,-0.3942585012347239,0.502994780010186,0.5443811636662215,-0.04119247197423198
6895,Chase Anderson,5.274245666426228,5.316858934836605,1.310175802463364,6.628742817804157,6.378366009274082,1.562874322896915,0.010464271672567598,0.3172804353916123,0.5080449460973281,0.5245717745725768,-0.22883069893649757,0.1552923901266003,0.30681616371904474,0.016526828475248667,0.3841230890630979
6902,Martín Pérez,4.856369073347199,4.699321761114709,1.52647611762257,4.984615618643687,5.319812301599631,1.523076994585571,-0.07965433681251292,-0.006117479765456084,0.12543543906683274,0.17652869904409174,0.13441367310073907,0.10112805543377935,0.07353685704705684,0.051093259977259,-0.03328561766695971
