Season,Team,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch
2023,"LAA",1.6266471855342388,-86.3511141166091,87.97776090353727,36.796300671994686,3.661892200820148,1.012181050114142,1.4789914981798922,94,3.272037358954549,-1.6649659902989071
2023,"BAL",9.17359143588692,-74.28467896580696,83.45827032625675,70.34410157799721,7.392447955906391,0.9146791705183291,1.4661656503725533,99,4.138213109225035,5.8910864873629585
2023,"BOS",3.191236543469131,-82.03864284604788,85.22987807914615,44.88380312919617,4.414288081228733,0.974929404508381,1.52779126841089,115,3.421599747147411,-0.14829962027479127
2023,"CHW",-6.8576709777116776,-86.81698578596115,79.9593135714531,-48.547099739313126,-5.145574320107698,1.0304026350782056,1.7832790059899841,81,-7.632497052894905,0.9771656860538318
2023,"CLE",-3.458766364492476,-90.53747735545039,87.07871145755053,-47.569500505924225,-4.829409908503294,1.0790536117966874,1.865861298576478,62,-4.657810074277222,1.4524398065910527
2023,"DET",-4.430200381204486,-82.12391340732574,77.69371339119971,-53.726193986833096,-5.706136430613697,0.9758975091493364,1.3711605554535276,147,-6.1300558261573315,1.5904393811208308
2023,"KCR",-9.161752548068762,-91.39894020557404,82.2371866106987,-59.08820031583309,-6.178174894303083,1.0610191746639799,1.6896121938054154,82,-5.929100781679153,-2.705759706087477
2023,"MIN",-1.0767100490629673,-84.61299550533295,83.53628492355347,9.393503814935684,1.1503644995391369,1.004453453636636,1.4587507183812018,138,2.2890359917655587,-3.3609722225234155
2023,"NYY",-3.0040218750946224,-75.96974903345108,72.96572722122073,-17.45279936492443,-1.4281592778861523,0.911209475074797,1.8038338053394372,71,-0.2955158269032836,-3.001225435415171
2023,"OAK",-8.640573464334011,-87.81457224488258,79.17399951815605,-78.7327980697155,-8.755300607532263,1.0481395389999453,1.4836872550065086,149,-5.733491271734238,-2.51023310162371
2023,"SEA",2.7984241023659706,-87.79393158853054,90.59235528111458,61.80680260062218,6.665486302226782,1.0418212250764558,1.7511958977610795,97,5.300231236964464,-2.6141426499704687
2023,"TBR",12.38817884027958,-74.62835881114006,87.0165385901928,163.50050358474255,17.891190024092793,0.9008676439908434,1.7691105321833962,76,14.80872760899365,-1.057341461523695
2023,"TEX",8.671713080257177,-75.32288210093975,83.99459613859653,166.8624009490013,17.416955206543207,0.9043867303084988,1.2166925999853346,54,13.209820644464344,-3.621319630855778
2023,"TOR",-1.7362766470760107,-87.6713163331151,85.93503998965025,14.338902838528156,1.5507693197578192,1.0165331569561062,1.7148600112181156,80,4.28514800965786,-5.993185406367177
2023,"HOU",5.652908265590668,-82.44657258689404,88.0994813516736,76.70040512084961,8.183982387185097,0.9696198620326656,1.5822862213927096,58,3.976093862205744,1.853931374426864
2022,"LAA",-11.083631502464414,-103.23503094911575,92.15139804780483,-77.1337049305439,-8.325652937404811,0.9454615439296952,1.4996739426831238,119,-6.484726402908564,-5.238258602273833
2022,"BAL",-1.4943611847702414,-109.22520611830987,107.73084546625614,-12.36279946565628,-1.535539111122489,1.0136464502678493,1.9054752746096222,93,0.8009455194696784,-2.2751885204443933
2022,"BOS",-3.412401795387268,-109.49869933724403,106.08629713021219,11.979001455008984,1.09424280654639,0.9928196546607092,1.7174527376562685,91,-1.9408901899587363,-1.496191035587144
2022,"CHW",-1.8151531023904681,-108.16543105244637,106.35027761757374,-16.735196232795715,-1.406861126422882,1.0011862119639339,1.6112571590713092,70,-6.374559580348432,4.561557083210711
2022,"CLE",0.04493574798107147,-109.5023367702961,109.54727279767394,-9.65889522433281,-1.0596555396914482,1.0254414020363958,1.5166250062175095,96,-2.8875603452324867,2.9313812285046414
2022,"DET",-9.927613273262978,-103.77856503427029,93.8509520906955,-121.07019810378551,-12.963934294879436,0.976126213625195,1.261348251143799,85,-12.627786545315757,2.4573668447800827
2022,"KCR",-9.134471841156483,-107.2369675040245,98.10249564051628,-64.85640132427216,-7.183272983878851,0.9867470058891653,1.3233177663965359,90,-6.483810311183333,-2.7733465756777917
2022,"MIN",-3.345029417425394,-106.92509871721268,103.58006959408522,11.494803369045258,1.4019940569996834,0.979512364479791,1.5430892553057307,121,2.372843010351062,-5.787837592070206
2022,"NYY",6.301952561363578,-114.6301755104214,120.93212717026472,119.44410678744316,12.626694560050964,1.0711986641758662,2.1484322701731036,93,10.951074028853327,-5.067989245311306
2022,"OAK",-10.499779760837555,-100.83683525770903,90.3370562242344,-87.98169648647308,-9.590502296574414,0.9443473895942723,1.3581926499499133,163,-11.152355613186955,0.03379916189135734
2022,"SEA",3.243678608094342,-111.10218768275809,114.34586779028177,35.04770182073116,3.9177827248349786,1.0584215585064887,1.7521322891849467,127,3.0482956152409315,0.016342082305037753
2022,"TBR",-2.5534571558237076,-104.58332246541977,102.02986496686935,0.04630577564239502,0.47509758546948433,0.993611506244942,2.1359168095926266,113,0.8055666908621788,-3.3754414757001046
2022,"TEX",-2.722604390233755,-110.0014356970787,107.27883118391037,14.14749339967966,1.404093910008669,1.0235975179486363,1.6765956942983669,139,-0.6706834929063916,-1.98915530358664
2022,"TOR",7.74459938891232,-100.91352319717407,108.65812088549137,94.98270463943481,9.781575224362314,0.9502598771537516,1.4271461494589368,104,6.527472859248519,1.6225075567500902
2022,"HOU",5.781002227216959,-93.87260976433754,99.65361151844263,64.16370471566916,6.895152123644948,0.8970569299871104,1.5545382815424675,81,5.527691023424268,0.916718505076922
